City,Year,Consumption of Electricity (in lakh units)-Domestic purpose,Consumption of Electricity (in lakh units)-Commercial purpose,Consumption of Electricity (in lakh units)-Industry purpose,Consumption of Electricity (in lakh units)-Public Water Work & Street Light,Consumption of Electricity (in lakh units)-Others,Consumption of Electricity (in lakh units)-Total Consumption,Latitude,Longitude
Agartala,2018-19,213.98,30.8,5.94,13.13,55.25,319.1,23.831457,91.286781
Agra,2017-18,9772,3811,2870,583,157,17191,27.176670,78.008072
Aizawl,2018-19,2386.93,481.15,133.41,437.78,518.55,3957.82,23.727106,92.717636
Amritsar,2017-18,4076.09,2131.73,1479.03,206,166.24,8059.09,31.633980,74.872261
Aurangabad Maharashtra ,2017-18,275.07,83.97,121.08,18.38,19.12,517.62,19.899290,75.319489
Belagavi csd -1,2017-18,15.2,13.1,1.5,3.7,6.8,40.3,16.171130,74.838930
Bengaluru,2017-18,52701.29,39082.12,27116.79,7425.861,5349.706,131675.8,12.971599,77.594566
Chandigarh (in MU),2017-18,731.94,494.02,258.68,17.73,86.43,1588.8,30.733350,76.779040
Chennai,2018-19,69265,41870,26515,1893,7795,147338,13.082680,80.270721
Davanagere,2017-18,1230,443.95,191.52,87.82,621.72,2627.36,14.464408,75.921761
Gwalior,2018-19 ,5669,1327,1668,837,56,9557,26.218287,78.182831
Indore,2018-19 ,10910.6,3858.5,2062.9,605.03,139.33,17576.37,22.719568,75.857727
Jabalpur,2017-18,313.38,103.21,92.89,63.43,101.46,674.37,23.181467,79.986404
Jaipur-C-I,2017-18,117.89,273.41,10.56,4.47,0.15,406.48,27.006860,75.804280
Jaipur-C-II,2017-19,299.77,233.24,22.98,13.71,0.052,569.752,24.886980,93.048930
Jaipur-C-III,2017-20,286.39,473.53,7.32,8.912,2.647,778.799,24.904100,93.045200
Jaipur-C-IV,2017-21,356.94,720.83,13.69,7.96,19.05,1118.47,26.847990,75.797750
Jhansi,2018-19,184.58,31.05,80.1,61.91,8.1,365.74,25.448759,78.570007
Kakinada,2018-19 ,2114.8,512.6,474,32.3,18.6,3152.31,16.942360,82.244621
Kanpur Nagar,2018-19,125010.1,2702.3,5745,978.4,2627.7,24563.5,26.339689,80.292938
Karimnagar,2018-19,100.57,32.53,4.38,2.79,1.4,141.67,18.459261,79.136238
Kohima,2017-18,36.742,5.864,1.129,0.342,9.799,53.876,25.669390,94.106369
KOTA,2017-18,4329.535,1915.632,2263.928,168.5941,369.2282,9046.917,25.192181,75.850838
Madurai,2018-19,44.26084,76.42692,16.56144,6.51587,3.53953,146.5654,9.925201,78.119774
Muzaffarpur,2018-19,84.93,14.47,7.45,NA,NA,106.88,26.122000,85.379303
Nagpur,2018-19,11261.37,3673.95,5582.41,1189.34,935.96,22643.03,21.145800,79.088158
NDMC,2018-19,1779.54,8021.45,0.22,51.2,335.26,10187.67,17.453930,78.548780
New Town Kolkata,2017-18,709.66,2535.92,0.25,215.13,4.63,3465.6,18.535920,73.139900
Pimpri Chinchwad,2018-19,NA,NA,NA,389.59,NA,389.59,18.628810,73.800710
Raipur city,2018-19,435.92,1169.2,258.93,51.58,31.23,1946.86,21.207560,81.627580
Salem,2018-19,1225,332,176,34,23,1791,11.652120,78.157982
Satna,2017-18,1066.35,331.94,36.18,99.43,0.9,1534.8,24.560160,80.830330
Shillong,2017-18,1900.6,539.5,33.1,244.5,600.8,3318.5,25.576229,91.882858
Shivamogga,2018-19,767.6,366.49,1324.06,201.79,1687.16,4347.1,13.933710,75.573036
srinagar,2018-19 ,650,200,150,9,2.5,1110,30.222401,78.777100
Thanjavur,2018-19,280,211.36,17.1,22.45,11.62,542.54,10.783600,79.133598
Thoothukudi,2018-19,688.224,1728.72,664.02,271.34,204.824,3199.044,9.074270,78.291153
Tiruchirappalli,2017-18,13.4,7.03,1.25,0.59,0.97,23.37,10.759610,78.787361
Tirupati,2018-19,93.49,26.1,3.54,7.2,1.3,131.63,13.628730,79.419067
Udaipur,2017-18,2299.19,1700.93,2162.11,252.47,229.52,6744.04,24.576111 ,73.700500
Vadodara,2017-18,11776.8,2079.4,1417.8,232.21,NA,15506.21,22.307159,73.181221
Varanasi,2017-18,344276,117285,88547,26340,6965,574293,25.309580,83.005692
Visakhapatnam,2018-19 ,108.46,67.224,203.273,2.471,42.379,423.806,17.686815,83.218483
Warangal,2018-19,226.55,87.04,71.34,7.75,5.52,398.2,17.964609,79.747429
